sentence,length
"What is the story of Kohinoor (Koh-i-Noor) Diamond?",51
"How can I increase the speed of my internet connection while using a VPN?",73
"Why am I mentally very lonely? How can I solve it?",50
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",76
"Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?",86
"Should I buy tiago?",19
"How can I be a good geologist?",30
"When do you use シ instead of し?",35
"Motorola (company): Can I hack my Charter Motorolla DCX3400?",60
"Method to find separation of slits using fresnel biprism?",57
"How do I read and find my YouTube comments?",43
"What can make Physics easy to learn?",36
"What was your first sexual experience like?",43
"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",141
"What would a Trump presidency mean for current international master’s students on an F1 visa?",95
"What does manipulation mean?",28
"Why do girls want to be friends with the guy they reject?",57
"Why are so many Quora users posting questions that are readily answered on Google?",82
"Which is the best digital marketing institution in banglore?",60
"Why do rockets look white?",26
"What's causing someone to be jealous?",37
"What are the questions should not ask on Quora?",47
"How much is 30 kV in HP?",24
"What does it mean that every time I look at the clock the numbers are the same?",79
"What are some tips on making it through the job interview process at Medicines?",79
"What is web application?",24
"Does society place too much importance on sports?",49
"What is best way to make money online?",38
"How should I prepare for CA final law?",38
"What's one thing you would like to do better?",45
"What are some special cares for someone with a nose that gets stuffy during the night?",86
"What Game of Thrones villain would be the most likely to give you mercy?",72
"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",127
"What is the best travel website in spain?",41
"Why do some people think Obama will try to take their guns away?",64
"I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?",115
"37 When a girlfriend asks her boyfriend Why did you choose me? What makes you want to be with me?  what should one reply to her?38 How do we prepare for UPSC?",158
"What is the stall speed and AOA of an f-14 with wings fully swept back?",71
"Why do Slavs squat?",19
"When can I expect my Cognizant confirmation mail?",49
"Can I make 50,000 a month by day trading?",41
"Is being a good kid and not being a rebel worth it in the long run?",67
"What universities does Rexnord recruit new grads from? What majors are they looking for?",88
"What is the quickest way to increase Instagram followers?",57
"How did Darth Vader fought Darth Maul in Star Wars Legends?",59
"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?",135
"What are some examples of products that can be make from crude oil?",67
"How do I make friends.",22
"Is Career Launcher good for RBI Grade B preparation?",52
"Will a Blu Ray play on a regular DVD player? If so, how?",56
"Nd she is always sad?",21
"What is the best/most memorable thing you've ever eaten and why?",64
"How GST affects the CAs and tax officers?",41
"How difficult is it get into RSI?",33
"Who is israil friend?",21
"What are some good rap songs to dance to?",41
"I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?",139
"What are the best ways to learn French?",39
"How do I download content from a kickass torrent without registration?",70
"Is it normal to have a dark ring around the iris of my eye?",59
"How is the new Harry Potter book 'Harry Potter and the Cursed Child'?",69
"Why do I always get depressed?",30
"Where can I find a European family office database?",51
"What is Java programming? How To Learn Java Programming Language ?",66
"What is the best book ever made?",32
"Can we ever store energy produced in lightning?",47
"What is your review of Performance Testing?",43
"At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?",96
"What are the types of immunity?",31
"What is a narcissistic personality disorder?",44
"How I can speak English fluently?",33
"How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?",104
"Who is the richest gambler of all time and how can I reach his level?",69
"If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?",110
"How do I prevent breast cancer?",31
"How do I log out of my Gmail account on my friend's phone?",58
"How can I make money through the Internet?",42
"What is purpose of life?",24
"When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?",147
"What is the right etiquette for wishing a Jehovah Witness happy birthday?",73
"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?",125
"Why do Swiss despise Asians?",28
"What are some of the high salary income jobs in the field of biotechnology?",75
"How can I increase my height after 21 also?",43
"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?",126
"What is the difference between sincerity and fairness?",54
"Which is the best gaming laptop under 60k INR?",46
"What is your review of The Next Warrior: Proving Grounds - Part 9?",66
"What is the best reference book for physics class 11th?",55
"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?",89
"What are some of the best romantic movies in English?",53
"What causes a nightmare?",24
"What is abstract expressionism in painting?",43
"How does 3D printing work?",26
"What was it like to attend Caltech with Jeremy Ehrhardt?",56
"Why did harry become a horcrux?",31
"What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?",171
"Why is the number for Skype at 1-855-425-3768 always busy?",58
"Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?",102
"Did Ronald Reagan have a mannerism in his speech?",49
"What were the war strategies of the Union and the Confederates during the Civil War?",84
"Which is the best fiction novel of 2016?",40
"Can I recover my email if I forgot the password?",48
"Will the recent demonetisation results in higher GDP? If so how much?",69
"Have you ever heard of travel hacking?",38
"What's the difference between love and pity?",44
"How competitive is the hiring process at Republic Bank?",55
"How Google helps in spam ranking adjustment of the search results?",66
"Where can I watch gonulcelen with english subtitles?",52
"Is USA the most powerful country of the world?",46
"How do you obtain an instant ulcer pain relief?",47
"What do you think China food?",29
"What does taking advantage of someone mean?",43
"Why do we cry when we are happy and when we are sad?",52
"Why do some girls like to stick their their tongues out when taking pictures?",77
"Did you find the ending of the novel 1984 depressing?",53
"What are some mind-blowing computer tools that exist that most people don't know about?",87
"Should the toothbrush be wet or dry before applying the toothpaste?",67
"Why my question was marked as needing imrovement?",49
"What is the difference between a neutral state and a buffer state?",66
"What mineral holds the highest electrical charge?",49
"What is the greatest mystery in the universe?",45
"What is the alternative to machine learning?",44
"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?",96
"What is the mean of future budget?",34
"Can excessive amounts of Vitamin C cause me to have a miscarriage?",66
"What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?",96
"How do I access Torbox in India?",32
"What are some yakshini mantras?",31
"Was six party talks successful?",31
"How do I register my domain site email?",39
"Is it normal for older men to be attracted to young women?",58
"What is the strongest structure or strongest shape under compression?",69
"Who are the Rohingya Muslims?",29
"Does it matter whether humans are selfish or evil?",50
"Are exocytosis and endocytosis examples of active or passive transport?",71
"How i get hair on bald head?",28
"What is the ideal life after retirement?",40
"What is our stance against Pakistan?",36
"What are good websites for escorts?",35
"Which one is better polo diesel or grand i10 petrol?",52
"Does a black hole have mass?",28
"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",96
"Does Fab currently offer new employees stock options or RSUs?",61
"How would you review the site Waveclues?",40
"In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?",124
"How much would it cost to hire Jerry Seinfeld for 1-2 hours?",60
"Is 7 days too late for rabies vaccine after a possible non-bite exposure?",73
"How many years Britain ruled India?",35
"How can I stop being afraid of working?",39
"Why does Red keep the keys in OITNB?",36
"At what age should someone lose their virginity?",48
"How forgetful are you?",22
"Could Snoke secretly be Darth Maul?",35
"If I do not monetize YouTube videos & upload copyright content, then are there chances that Google may block my account?",120
"Would you switch from Canon 6D to Leica D-LUX 109?",50
"What does the Quora website look like to members of Quora moderation?",69
"Why nobody answer my questions in Quora?",40
"What is the funniest joke you know?",35
"I got job offer @ Chelmsford-Essex, London with £3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?",151
"What are stereotypes about the United Kingdom?",46
"How do I use Twitter as a business source?",42
"How can I transfer money from Skrill to a PayPal account?",57
"Which is the best earphone with deep bass under 1000?",53
"Are government employees eligible to Sukanya Samrudi Yojana?",60
"Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?",91
"Which are the best engineering fields?",38
"How do you make life suit you and stop life from abusing you mentally and emotionally?",86
"What is the difference between gross salary and CTC?",52
"Which are the prospering towns in Kerala?",41
"What is the best way to gain confidence?",40
"Does anyone see the relation between Greek gods and Hindu gods?",63
"How do I switch from Apple Music to Spotify?",44
"Which is the best fixed income fund?",36
"What is it like to live in Cologne?",35
"Between Robert De Niro and Al Pacino, who is more successful?",61
"Why does some people prefer small families.?",44
"Do animals kiss?",16
"How do you get deleted Instagram chats?",39
"How can I stop being addicted to love?",38
"What if I hired two private eyes and ordered them to follow each other?",71
"How do I find a startup accelerator?",36
"How can I check wifi history and access it through android phones?",66
"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Rostov?",119
"What is the most creative college admissions essay you've read?",63
"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?",104
"Is it possible to pursue many different things in life?",55
"Did Ben Affleck shine more than Christian Bale as Batman?",57
"Which business is good start up in Hyderabad?",45
"How can I stop being so possessive?",35
"Who was the wife of Lord Krishna?",33
"What is the best combination of courses I can take up along with CA to enhance my career?",89
"How do you take a screenshot on a Mac laptop?",45
"What is the work of an executive recruiter like?",48
"Which psychological need does 'collecting' fulfill?",51
"What are some must watch TV shows before you die?",49
"How can I become more fluent in Chinese?",40
"What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?",90
"What is the easiest way to become a billionaire($)?",51
"Are there People who are willing to give free lectures or conduct free workshop in India colleges?",98
"What's the best way to start learning robotics?",47
"Why do people hate Hillary Clinton?",35
"Why are women who are on their periods are regarded as 'unclean' such that they are prevented in taking an actived part in rituals (Hinduism)?",142
"If atheism is the lack of belief in gods, what is the term for the belief that there is no god?",95
"What is it like to be Jack Dorsey?",34
"What are the best quotes/lessons of the Assassin's Creed series?",64
"Do inkjet printers use color ink when printing black and white documents? If so, why?",85
"Why is creativity important?",28
"If Hillary Clinton could not continue her Presidential campaign how would the Democratic Party choose a new candidate?",118
"How headphones work as an Antenna to play FM radio channels on Mobile phones? Why mobile companies doesn't install the same inbuilt Antenna on phones to be able to play FM without the headphones?",195
"What are the best career growth technologies for automation engineers apart from automation tools?",98
"What are the disadvantages of listing a company in NSE?",55
"How many derivatives of an object's position with respect to time have to be continuous?",88
"Is the neutron star made up of?",31
"I got a 3.8 GPA. Is it enough to get into top universities like Harvard?",72
"What is a profitable way to trade binary options?",49
"How do I utilize free time to avoid depression?",47
"How can I learn computer security?",34
"How do I earn from Quora?",25
"What is my puk code?",20
"How can I find job in Japan?",28
"What are some examples of sentences using the word hysteria?",60
"Will there be another billion dollar lottery Jackpot?",53
"How scary is it to drive on the road to Hana given all of the turns?",68
"How do I create a new shell in a new terminal using C programming (Linux terminal)?",83
"Does cognition affect perception?",33
"How TQWL is different from CKWL (Tatkal waiting list)?",54
"How can we make the world a better place to live in for the future generations?",79
"How many Champions are there in League of Legends?",50
"Is drinking 4 liters of water each day unhealthy?",49
"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Prespa?",110
"Do porn stars watch porn?",25
"Trump supporters, how do you feel about the way he's walking back his promises?",79
"Why are we worried about others' opinions?",42
"How do you potty train a 4 months Pitbull?",42
"If I jump rope for five minutes, how many calories will I use?",62
"Which online test series is best for GATE 2017 in CS stream?",60
"What is the best material for understanding algorithmic analysis by a newbie?",77
"What is the temperament of a Bullmastiff/Husky mix?",51
"There are 8 balls. 7 of them weigh the same. 1 of them has a different weight, (you don't know if it's heavier or lighter). How do you find the odd ball with 2 weighs?",167
"242 In the play A Raisin in the Sun  why do Walter ad Beneatha argue?243 What are the signs of an ultra smart person playing dumb?",130
"If dark energy is created with expansion can infinite of it be created?",71
"How do you get a book published?",32
"Who is disrupting Bloomberg?",28
"Why can flash run so fast?",26
"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?",132
"How will the implementation of GST bill impact the lives of common people?",74
"How can you recover your Gmail password?",40
"How accurately can a mental illness can be diagnosed?",53
"Is knee pain in a 20 year old girl normal?",42
"What are the qualities of a good leader?",40
"What is the difference between bay, gulf and straits?",53
"Will Modi win in 2019?",22
"How can I open DMart store in India? Is there any franchise for that?",69
"What are the best YouTube channels to learn medicine?",53
"Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?",82
"What will happen if I cancel TQWL tickets before the charting is done?",70
"What exactly is the Common Core Initiative/Standards and what are the pros and cons?",84
"How do I choose a journal to publish my paper?",46
"What are your New Year's resolutions for 2017?",46
"What do you do if you had a bad dream?",38
"Why do Slavs squat?",19
"How many marks should I score for AIIMS rank 151?",49
"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?",116
"How many months does it take to gain knowledge in developing Android apps from scratch?",87
"How do I love my body as a guy?",31
"What are the rights of a prisoner?",34
"How can I get free gems in Clash of Clans?",42
"Why aren't there more apps like Word Lens?",42
"My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?",160
"What is the best way to get traffic on your website?",52
"How do you feel when someone upvotes your answer on Quora?",58
"What are some of the best films and TV shows that feature strong female protagonists?",85
"How far would you go for love? Should I wait for the one I love ir move on?",75
"How do most people die?",23
"Why are most clothes made of polyester now instead of cotton?",61
"What is in bone marrow?",23
"Were there any slave with the name Reddice?",43
"How long does it take for a dead body to float to the surface after drowning ?",78
"How do I get over a friend with whom I haven't talked in 3 years but still miss him?",84
"When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?",125
"How can I make money online with free of cost?",46
"Where can I buy best quality customized cupcakes in Gold Coast?",63
"How successful was odd even plan?",33
"If there will be a war between India and Pakistan who will win?",63
"How do you deal with a fear of dying?",37
"What would be the estimated cost of repairing the cracked screen of iphone 6?",77
"What are the most interesting products and innovations that McDonald's is coming out with in 2016?",98
"Is there an end to the universe, and if not, is the universe infinite?",70
"What is CPAGrip.com?",20
"How much funds should I raise?",30
"What Anna Hazare think about PM Modi?",37
"What will be the effect of banning 500 and 1000 notes on stock markets in India?",80
"How does concentric contractions differ from eccentric contractions?",68
"Why did the puppet they used for Yoda in Episode I suck so bad?",63
"On what online platforms can I post ads for beer money opportunity?",67
"What the meaning of this all life?",34
"How should I start small business effectively?",46
"How can we acquire a positive morality?",39
"Do you need friends?",20
"Do I exist?",11
"Which are the best Hollywood thriller movies?",45
"Should I repeat 2nd year in college, or find a new college? It's a 5 year course.",81
"How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?",95
"What job possibilities exist for a Bachelors in Homeland Security?",66
"Which are the best books to understand calculus?",48
"Why and how did you break up with her/him?",42
"Can I use Jio SIM in iPhone 5s?",31
"What are some unwritten rules in USA?",37
"What is the best answer to what you did in two years gap in a job interview?",76
"What are the best songs for low voices?",39
"Can anyone predict my birth chart?",34
"When was the birth of the trigonometric functions?",50
"What does this saying mean; Don't trust everything you see even salt looks like sugar?",86
"What do countries do to prevent war?",36
"How can I become a billionaire?",31
"Why should I learn web design?",30
"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability & customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars & reminders are automated.",244
"How will Indian GDP be affected from banning 500 and 1000 rupees notes?",71
"Why does understanding death philosophical?",43
"Why are dogs considered omnivores?",34
"What it is like to be cheated upon in a relationship?",53
"How do I know if someone blocked my texts?",42
"What are the most interesting foods you have eaten in any country?",66
"What is it like to be a private banker?",39
"What is journalism for you?",27
"How can one increase concentration?",35
"How do I see sent invitations on Linkedin if I don't have any more pending invitations?",87
"What are the pros and cons of the German Shepherd dog?",54
"What is the difference between deism and agnosticism?",53
"Why do male porn stars masturbate to ejaculate?",47
